sale_id,sale_date,dealer_id,model_code,sale_price,dealer_name,region
600000,2024-05-08,308,MODEL_9,50976.45,MB Dealer 308,East
600001,2025-12-17,302,MODEL_9,48437.41,MB Dealer 302,Midwest
600002,2024-03-28,301,MODEL_5,45867.06,MB Dealer 301,South
600003,2024-05-10,312,MODEL_8,49185.47,MB Dealer 312,East
600004,2024-10-19,303,MODEL_4,44895.84,MB Dealer 303,West
600005,2025-12-28,310,MODEL_5,49974.93,MB Dealer 310,Midwest
600006,2025-11-04,315,MODEL_2,58628.99,MB Dealer 315,West
600007,2025-05-19,308,MODEL_9,39222.79,MB Dealer 308,East
600008,2025-08-12,315,MODEL_8,43430.66,MB Dealer 315,West
600009,2025-06-06,306,MODEL_1,41597.67,MB Dealer 306,Midwest
600010,2024-08-03,305,MODEL_2,40206.95,MB Dealer 305,South
600011,2025-10-22,303,MODEL_7,52237.81,MB Dealer 303,West
600012,2024-12-23,310,MODEL_1,41881.49,MB Dealer 310,Midwest
600013,2024-12-27,312,MODEL_9,68616.13,MB Dealer 312,East
600014,2025-03-11,314,MODEL_3,45820.37,MB Dealer 314,Midwest
600015,2025-09-05,307,MODEL_4,47020.64,MB Dealer 307,West
600016,2024-10-22,318,MODEL_1,37194.29,MB Dealer 318,Midwest
600017,2025-02-01,303,MODEL_7,61178.1,MB Dealer 303,West
600018,2025-08-17,315,MODEL_2,51449.91,MB Dealer 315,West
600019,2024-10-22,306,MODEL_6,57543.7,MB Dealer 306,Midwest
600020,2025-08-23,319,MODEL_6,49336.7,MB Dealer 319,West
600021,2024-10-19,319,MODEL_2,42179.74,MB Dealer 319,West
600022,2024-12-18,306,MODEL_4,45814.21,MB Dealer 306,Midwest
600023,2024-08-30,309,MODEL_3,55466.77,MB Dealer 309,South
600024,2024-03-12,317,MODEL_3,48677.06,MB Dealer 317,South
600025,2024-02-25,300,MODEL_7,54581.29,MB Dealer 300,East
600026,2025-02-13,311,MODEL_9,50318.8,MB Dealer 311,West
600027,2024-01-18,301,MODEL_3,51675.02,MB Dealer 301,South
600028,2024-01-19,306,MODEL_3,45776.91,MB Dealer 306,Midwest
600029,2024-05-09,313,MODEL_10,33991.04,MB Dealer 313,South
600030,2024-12-14,316,MODEL_2,35914.63,MB Dealer 316,East
600031,2025-06-19,310,MODEL_7,43027.01,MB Dealer 310,Midwest
600032,2024-12-21,307,MODEL_3,44815.89,MB Dealer 307,West
600033,2025-04-17,301,MODEL_10,60126.17,MB Dealer 301,South
600034,2025-02-10,313,MODEL_1,37911.34,MB Dealer 313,South
600035,2025-03-29,318,MODEL_8,50263.36,MB Dealer 318,Midwest
600036,2024-01-15,301,MODEL_8,47162.39,MB Dealer 301,South
600037,2025-08-17,316,MODEL_4,40158.77,MB Dealer 316,East
600038,2024-12-09,310,MODEL_5,43997.67,MB Dealer 310,Midwest
600039,2024-01-07,305,MODEL_5,34831.51,MB Dealer 305,South
600040,2025-12-21,312,MODEL_6,60566.63,MB Dealer 312,East
600041,2025-06-28,308,MODEL_7,51413.65,MB Dealer 308,East
600042,2024-10-11,306,MODEL_2,45894.58,MB Dealer 306,Midwest
600043,2024-10-27,314,MODEL_6,65315.46,MB Dealer 314,Midwest
600044,2024-04-06,301,MODEL_6,42612.51,MB Dealer 301,South
600045,2025-03-29,307,MODEL_5,41781.68,MB Dealer 307,West
600046,2025-04-16,302,MODEL_4,35891.69,MB Dealer 302,Midwest
600047,2024-03-17,311,MODEL_6,45117.54,MB Dealer 311,West
600048,2025-01-14,309,MODEL_2,48580.73,MB Dealer 309,South
600049,2024-11-03,319,MODEL_6,59915.92,MB Dealer 319,West
600050,2024-09-02,316,MODEL_10,49036.3,MB Dealer 316,East
600051,2024-02-03,305,MODEL_10,32205.97,MB Dealer 305,South
600052,2024-02-23,306,MODEL_1,40282.33,MB Dealer 306,Midwest
600053,2024-04-04,319,MODEL_5,38492.6,MB Dealer 319,West
600054,2025-04-02,315,MODEL_10,51406.79,MB Dealer 315,West
600055,2024-08-25,314,MODEL_7,39834.18,MB Dealer 314,Midwest
600056,2024-04-23,313,MODEL_9,54113.14,MB Dealer 313,South
600057,2024-06-11,304,MODEL_9,67263.9,MB Dealer 304,East
600058,2025-08-28,300,MODEL_3,39245.63,MB Dealer 300,East
600059,2024-03-20,309,MODEL_8,45022.61,MB Dealer 309,South
600060,2024-05-24,308,MODEL_3,35478.33,MB Dealer 308,East
600061,2024-07-30,307,MODEL_5,63194.57,MB Dealer 307,West
600062,2025-03-11,318,MODEL_10,45988.42,MB Dealer 318,Midwest
600063,2025-10-24,302,MODEL_5,57381.83,MB Dealer 302,Midwest
600064,2025-01-18,303,MODEL_8,42806.86,MB Dealer 303,West
600065,2024-10-03,300,MODEL_4,48767.54,MB Dealer 300,East
600066,2025-01-27,303,MODEL_5,31789.21,MB Dealer 303,West
600067,2025-10-13,307,MODEL_5,45424.82,MB Dealer 307,West
600068,2024-02-17,306,MODEL_4,37566.02,MB Dealer 306,Midwest
600069,2024-12-17,314,MODEL_3,48187.33,MB Dealer 314,Midwest
600070,2025-07-18,319,MODEL_1,66770.67,MB Dealer 319,West
600071,2024-03-24,311,MODEL_3,29217.09,MB Dealer 311,West
600072,2025-06-27,306,MODEL_2,45113.37,MB Dealer 306,Midwest
600073,2025-01-14,303,MODEL_5,47289.26,MB Dealer 303,West
600074,2024-08-12,305,MODEL_2,38133.41,MB Dealer 305,South
600075,2025-03-31,311,MODEL_10,48056.88,MB Dealer 311,West
600076,2024-02-12,302,MODEL_1,31665.45,MB Dealer 302,Midwest
600077,2024-11-20,301,MODEL_6,43675.94,MB Dealer 301,South
